epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3017.66,0.99571,1.31062,0.81297,0.00463,0.28537,0.84792,0.78384,0.85493,0.7002,0.83429,0.76835,0.82967,0.57611,0.89761,1.22921,0.80045,0.00596,0,0.000171567,0.000171567,0.000171567
39,3095.55,0.99285,1.31263,0.80262,0.00458,0.28245,0.84756,0.78985,0.85604,0.70211,0.83667,0.7733,0.83218,0.58224,0.90239,1.22476,0.80022,0.00597,0,0.000170068,0.000170068,0.000170068
40,3173.72,0.98447,1.30263,0.78872,0.0045,0.27802,0.83926,0.78781,0.85218,0.69769,0.83509,0.77226,0.83282,0.58504,0.90153,1.24336,0.8175,0.00596,0,0.00016857,0.00016857,0.00016857
41,3252.25,0.98259,1.29476,0.78682,0.00451,0.2787,0.85436,0.78728,0.85407,0.70189,0.84333,0.7726,0.83114,0.58375,0.90533,1.23732,0.79138,0.00599,0,0.000167072,0.000167072,0.000167072
42,3330.9,0.98448,1.29963,0.78661,0.00454,0.27503,0.86128,0.77849,0.8556,0.70293,0.85148,0.76609,0.83562,0.58272,0.89617,1.21773,0.79733,0.00587,0,0.000165574,0.000165574,0.000165574
43,3409.22,0.97735,1.27413,0.77919,0.0045,0.27313,0.84475,0.7916,0.85655,0.70408,0.83796,0.77373,0.83305,0.57851,0.9002,1.22024,0.79512,0.00592,0,0.000164076,0.000164076,0.000164076
44,3487.06,0.97353,1.2796,0.77065,0.00447,0.27118,0.85347,0.78477,0.85518,0.70231,0.83583,0.77575,0.83495,0.58452,0.89969,1.24187,0.80093,0.00593,0,0.000162577,0.000162577,0.000162577
45,3564.76,0.97042,1.2777,0.76658,0.00443,0.26651,0.84177,0.79589,0.85381,0.70298,0.83039,0.77798,0.83194,0.58853,0.8872,1.21906,0.80364,0.00573,0,0.000161079,0.000161079,0.000161079
46,3642.42,0.97185,1.28394,0.76568,0.00449,0.26264,0.85281,0.79136,0.85872,0.7083,0.84361,0.77128,0.83377,0.58193,0.89026,1.22266,0.79576,0.00579,0,0.000159581,0.000159581,0.000159581
47,3719.87,0.96368,1.27813,0.75597,0.0044,0.26196,0.85947,0.78399,0.85762,0.70884,0.85046,0.76891,0.83581,0.58305,0.88459,1.21686,0.79407,0.00575,0,0.000158083,0.000158083,0.000158083
48,3798.18,0.96435,1.26264,0.75764,0.0044,0.2626,0.85544,0.78823,0.85728,0.70702,0.84858,0.77119,0.83538,0.58005,0.88446,1.23132,0.80223,0.0058,0,0.000156585,0.000156585,0.000156585
49,3876.24,0.96553,1.27109,0.75614,0.00441,0.26155,0.85917,0.78968,0.86052,0.70805,0.85417,0.76963,0.83907,0.59278,0.89229,1.22678,0.79291,0.00587,0,0.000155086,0.000155086,0.000155086
50,3954.24,0.96776,1.27046,0.74996,0.00437,0.25613,0.85773,0.79323,0.86012,0.70827,0.84478,0.77974,0.83763,0.58489,0.89205,1.21979,0.79632,0.00585,0,0.000153588,0.000153588,0.000153588
51,4032.45,0.95799,1.25328,0.74298,0.00438,0.25866,0.83658,0.79974,0.85798,0.70465,0.83547,0.77286,0.83282,0.58305,0.89834,1.22547,0.80464,0.00581,0,0.00015209,0.00015209,0.00015209
52,4110.22,0.95466,1.25225,0.7386,0.00431,0.25881,0.85081,0.79048,0.85912,0.70754,0.84432,0.77208,0.83581,0.58012,0.89063,1.23018,0.79449,0.00576,0,0.000150592,0.000150592,0.000150592
53,4187.94,0.95812,1.25794,0.73298,0.00432,0.25296,0.8468,0.80498,0.8622,0.71324,0.83799,0.78837,0.8409,0.58951,0.87837,1.20781,0.7836,0.0057,0,0.000149094,0.000149094,0.000149094
54,4265.64,0.95127,1.24661,0.72973,0.0043,0.25102,0.86157,0.78942,0.86092,0.71177,0.85387,0.77382,0.83888,0.58806,0.8829,1.2336,0.80354,0.00578,0,0.000147595,0.000147595,0.000147595
55,4344.04,0.9533,1.2451,0.7291,0.0043,0.24732,0.85871,0.79631,0.86206,0.71285,0.85154,0.7809,0.84199,0.59814,0.88429,1.22137,0.7939,0.00584,0,0.000146097,0.000146097,0.000146097
56,4421.99,0.95022,1.24841,0.72078,0.00426,0.24847,0.85179,0.79746,0.86226,0.71214,0.84235,0.7771,0.83837,0.58957,0.87967,1.22322,0.79331,0.00577,0,0.000144599,0.000144599,0.000144599
57,4499.32,0.94258,1.22492,0.71481,0.00422,0.24797,0.84792,0.79664,0.85956,0.71091,0.84689,0.77178,0.83604,0.58737,0.88319,1.23741,0.80348,0.00581,0,0.000143101,0.000143101,0.000143101
58,4577.32,0.94318,1.2312,0.71042,0.00422,0.24387,0.85107,0.8,0.85998,0.71146,0.84143,0.78281,0.83774,0.58725,0.87613,1.227,0.80518,0.00579,0,0.000141603,0.000141603,0.000141603
59,4655.8,0.94096,1.22832,0.70269,0.0042,0.24216,0.86279,0.79264,0.86355,0.71625,0.85217,0.77593,0.8402,0.58896,0.87138,1.21567,0.79672,0.00566,0,0.000140104,0.000140104,0.000140104
60,4733.74,0.93981,1.21799,0.70402,0.00422,0.24167,0.85126,0.79905,0.86033,0.71224,0.84515,0.78039,0.83875,0.58823,0.87884,1.21673,0.7962,0.00574,0,0.000138606,0.000138606,0.000138606
61,4811.35,0.94078,1.2295,0.70005,0.00418,0.24037,0.85053,0.80012,0.86132,0.71314,0.8429,0.78277,0.84019,0.58975,0.87215,1.22509,0.78896,0.00571,0,0.000137108,0.000137108,0.000137108
62,4888.98,0.92363,1.1944,0.69843,0.00416,0.2383,0.85925,0.79584,0.86344,0.71478,0.84666,0.78222,0.84154,0.59228,0.87467,1.22682,0.79335,0.00569,0,0.00013561,0.00013561,0.00013561
63,4966.18,0.93079,1.20091,0.69044,0.00417,0.23497,0.85894,0.804,0.86597,0.71869,0.85405,0.7834,0.84391,0.59493,0.87144,1.22665,0.78399,0.00571,0,0.000134112,0.000134112,0.000134112
64,5044.05,0.93514,1.20858,0.69265,0.00418,0.23507,0.85911,0.80192,0.86487,0.71749,0.84624,0.78664,0.84326,0.59875,0.87166,1.2171,0.79001,0.00566,0,0.000132613,0.000132613,0.000132613
65,5121.69,0.93423,1.22379,0.69563,0.00417,0.23548,0.85453,0.80144,0.86262,0.71713,0.85336,0.77951,0.84075,0.58648,0.87555,1.23689,0.78929,0.00572,0,0.000131115,0.000131115,0.000131115
66,5198.87,0.92915,1.20563,0.69236,0.00412,0.23492,0.85769,0.79446,0.86187,0.71578,0.84332,0.7799,0.83976,0.59172,0.87586,1.2159,0.78685,0.00571,0,0.000129617,0.000129617,0.000129617
67,5276.71,0.93005,1.20907,0.68456,0.00412,0.23428,0.85724,0.80044,0.86219,0.71679,0.85054,0.78248,0.84128,0.59027,0.87185,1.23215,0.80856,0.00563,0,0.000128119,0.000128119,0.000128119
68,5354.52,0.92543,1.20877,0.67823,0.00407,0.23306,0.86308,0.79883,0.86337,0.71619,0.85084,0.77852,0.83793,0.5854,0.87081,1.22061,0.78371,0.00557,0,0.000126621,0.000126621,0.000126621
69,5431.85,0.92589,1.19685,0.67651,0.00411,0.23369,0.86001,0.79708,0.86376,0.71779,0.85881,0.77326,0.84049,0.59348,0.87405,1.23259,0.79722,0.00566,0,0.000125122,0.000125122,0.000125122
70,5509.72,0.92656,1.2009,0.67551,0.0041,0.23032,0.85633,0.79929,0.86427,0.7176,0.85017,0.78063,0.84176,0.59507,0.87078,1.21882,0.7851,0.00565,0,0.000123624,0.000123624,0.000123624
71,5588.04,0.9268,1.20096,0.67568,0.0041,0.2293,0.85526,0.80559,0.86312,0.7164,0.84993,0.78368,0.84064,0.58848,0.8678,1.22456,0.80101,0.00563,0,0.000122126,0.000122126,0.000122126
72,5665.47,0.92363,1.19515,0.67192,0.00406,0.22703,0.85331,0.80106,0.86254,0.71694,0.84825,0.77917,0.83891,0.58569,0.87275,1.2202,0.78902,0.00568,0,0.000120628,0.000120628,0.000120628
73,5743.21,0.91708,1.1946,0.66414,0.00401,0.22635,0.8509,0.80957,0.86656,0.7203,0.84018,0.79389,0.84462,0.59914,0.86727,1.21604,0.78071,0.00569,0,0.00011913,0.00011913,0.00011913
74,5821.1,0.90988,1.18061,0.65528,0.00402,0.22575,0.86702,0.79857,0.86541,0.71963,0.8573,0.77901,0.84263,0.58972,0.8688,1.21895,0.78884,0.00568,0,0.000117631,0.000117631,0.000117631
